Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,1260,3.64,0.79,2.86,0.99,0.21,0.43,4.93,10.36,37.14,4.57,1090.41,2.64,111.44,9.71,1.0,2.57,51.87,1,78.57,47.59,10.3,21.37
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,3.67,1.0,2.67,1.07,0.07,0.33,1.33,5.0,27.33,2.33,634.73,2.33,85.33,11.0,0.0,0.67,11.83,1,72.75,26.6,0.0,21.21
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,270,6.0,1.67,4.0,2.53,0.87,0.33,7.0,16.0,32.33,3.33,1096.5,7.0,341.1,11.67,0.0,0.67,9.6,1,66.67,43.75,0.0,28.11
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,270,5.33,1.33,3.67,2.07,0.73,0.33,3.0,9.0,28.0,3.0,990.07,4.0,154.97,11.33,0.33,2.67,50.97,1,68.86,33.33,2.91,26.74
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1080,3.33,1.08,2.33,1.17,0.08,0.33,1.92,5.0,32.5,7.33,837.26,3.33,106.61,10.5,0.75,4.67,107.24,1,69.97,38.4,7.14,24.58
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,360,4.25,0.75,3.5,1.23,0.48,0.25,7.5,16.25,50.0,4.25,1517.0,4.75,176.35,15.5,1.25,1.5,29.7,1,82.35,46.15,8.06,23.83
John,BRA,Nott'ham Forest,UEFA Europa League,GK,Goalkeeper,29,180,1.5,0.0,1.5,0.35,0.35,1.0,1.5,4.5,21.5,1.0,525.2,0.0,0.0,2.0,0.0,1.5,30.9,1,100.0,33.33,0.0,23.33
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,180,0.5,0.0,0.5,0.05,0.05,1.0,5.0,10.5,39.0,4.0,1113.0,2.0,115.0,7.0,0.5,3.5,80.5,1,100.0,47.62,7.14,10.0
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1274,5.51,2.12,3.39,2.02,-0.1,0.21,3.46,9.18,37.3,4.24,989.77,4.95,202.99,13.78,0.42,1.06,21.38,1,61.52,37.69,3.05,22.56
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,1350,3.93,1.13,2.73,1.34,0.21,0.4,7.53,21.4,33.8,3.2,1350.39,5.47,303.01,13.4,0.33,2.13,40.33,1,69.47,35.19,2.46,23.69
