Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Unai Simón,J4,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.07,28,ESP
Antonio Sivera,J4,GK,Goalkeeper,Alavés,Spanish La Liga,90,7.38,29,ESP
Jan Oblak,J4,GK,Goalkeeper,Atlético Madrid,Spanish La Liga,90,6.81,32,SVN
Luiz Lúcio Reis Júnior,J4,GK,Goalkeeper,Villarreal,Spanish La Liga,90,5.64,24,BRA
Ionuț Radu,J4,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,6.61,28,ROU
Paulo Gazzaniga,J4,GK,Goalkeeper,Girona,Spanish La Liga,90,7.01,33,ARG
Mathew Ryan,J4,GK,Goalkeeper,Levante,Spanish La Liga,90,6.52,33,AUS
Álvaro Vallés,J4,GK,Goalkeeper,Betis,Spanish La Liga,90,5.68,28,ESP
Sergio Herrera,J4,GK,Goalkeeper,Osasuna,Spanish La Liga,90,7.39,32,ESP
Augusto Batalla,J4,GK,Goalkeeper,Rayo Vallecano,Spanish La Liga,90,6.57,29,ARG
Joan García,J4,GK,Goalkeeper,Barcelona,Spanish La Liga,90,6.68,24,ESP
Julen Agirrezabala,J4,GK,Goalkeeper,Valencia,Spanish La Liga,90,5.97,24,ESP
Marko Dmitrović,J4,GK,Goalkeeper,Espanyol,Spanish La Liga,90,6.6,33,SRB
Leo Román,J4,GK,Goalkeeper,Mallorca,Spanish La Liga,90,5.66,25,ESP
Pau López,J5,GK,Goalkeeper,Betis,Spanish La Liga,90,6.78,30,ESP
Álex Remiro,J5,GK,Goalkeeper,Real Sociedad,Spanish La Liga,90,6.44,30,ESP
Paulo Gazzaniga,J5,GK,Goalkeeper,Girona,Spanish La Liga,90,5.82,33,ARG
Mathew Ryan,J5,GK,Goalkeeper,Levante,Spanish La Liga,90,6.95,33,AUS
Thibaut Courtois,J5,GK,Goalkeeper,Real Madrid,Spanish La Liga,90,6.89,33,BEL
Marko Dmitrović,J5,GK,Goalkeeper,Espanyol,Spanish La Liga,90,6.0,33,SRB
Luiz Lúcio Reis Júnior,J5,GK,Goalkeeper,Villarreal,Spanish La Liga,90,6.64,24,BRA
Sergio Herrera,J5,GK,Goalkeeper,Osasuna,Spanish La Liga,90,7.11,32,ESP
Antonio Sivera,J5,GK,Goalkeeper,Alavés,Spanish La Liga,90,6.18,29,ESP
Odysseas Vlachodimos,J5,GK,Goalkeeper,Sevilla,Spanish La Liga,90,6.69,31,GRE
Julen Agirrezabala,J5,GK,Goalkeeper,Valencia,Spanish La Liga,90,7.21,24,ESP
Unai Simón,J5,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.89,28,ESP
Augusto Batalla,J5,GK,Goalkeeper,Rayo Vallecano,Spanish La Liga,90,7.09,29,ARG
Ionuț Radu,J5,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,6.46,28,ROU
Leo Román,J5,GK,Goalkeeper,Mallorca,Spanish La Liga,90,7.24,25,ESP
Jan Oblak,J5,GK,Goalkeeper,Atlético Madrid,Spanish La Liga,90,6.36,32,SVN
Iñaki Peña,J5,GK,Goalkeeper,Elche,Spanish La Liga,90,7.39,26,ESP
Aarón Escandell,J5,GK,Goalkeeper,Oviedo,Spanish La Liga,90,6.93,29,ESP
Joan García,J5,GK,Goalkeeper,Barcelona,Spanish La Liga,90,6.83,24,ESP
David Soria,J5,GK,Goalkeeper,Getafe,Spanish La Liga,90,6.49,32,ESP
Marko Dmitrović,J6,GK,Goalkeeper,Espanyol,Spanish La Liga,90,6.04,33,SRB
Julen Agirrezabala,J6,GK,Goalkeeper,Valencia,Spanish La Liga,90,6.96,24,ESP
Unai Simón,J6,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.5,28,ESP
Paulo Gazzaniga,J6,GK,Goalkeeper,Girona,Spanish La Liga,90,6.84,33,ARG
