Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Ionuț Radu,ROU,Venezia,Italian Serie A,GK,Goalkeeper,27,1260,58.0,18.0,40.0,16.7,-1.3,3,65.0,246.0,438.0,59.0,17102.9,69.0,3745.0,191.0,12.0,3.0,39.9,1
Isak Pettersson,SWE,Elfsborg,UEFA Europa League,GK,Goalkeeper,27,720,46.0,14.0,34.0,13.9,-0.1,3,39.0,182.0,212.0,32.0,9082.1,68.0,3876.8,174.0,9.0,5.0,86.2,1
Ivan Guteša,SRB,Red Star,UEFA Champions League,GK,Goalkeeper,22,180,12.0,3.0,9.0,4.5,1.5,0,11.0,35.0,41.0,9.0,1669.0,18.0,782.3,21.0,1.0,1.0,14.8,1
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Champions League,GK,Goalkeeper,26,450,34.0,15.0,19.0,14.9,-0.1,1,26.0,78.0,132.0,13.0,4728.4,34.0,1369.0,75.0,1.0,0.0,0.0,1
Ivan Provedel,ITA,Lazio,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,31,2340,77.0,31.0,48.0,25.1,-5.9,6,133.0,353.0,913.0,85.0,30752.4,110.0,5289.1,344.0,25.0,24.0,506.6,1
Ivica Ivušić,CRO,Pafos FC,UEFA Europa Conference League,GK,Goalkeeper,30,720,20.0,7.0,12.0,7.9,0.9,3,27.0,83.0,207.0,33.0,6706.9,31.0,1017.5,79.0,5.0,10.0,189.9,1
Iván Villar,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,27,360,18.0,9.0,10.0,8.2,-0.8,0,3.0,22.0,82.0,15.0,1964.3,35.0,939.4,65.0,1.0,5.0,115.2,1
Iñaki Peña,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,26,1756,60.0,23.0,37.0,20.4,-2.6,6,28.0,101.0,668.0,91.0,16679.9,100.0,3063.4,184.0,5.0,103.0,2509.0,1
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,810,34.0,12.0,23.0,11.3,-0.7,2,61.0,157.0,236.0,30.0,8815.9,76.0,3804.4,154.0,6.0,4.0,65.1,1
Jacob Karlstrom,NOR,Molde,UEFA Europa Conference League,GK,Goalkeeper,28,360,16.0,5.0,11.0,6.2,1.2,1,11.0,46.0,222.0,20.0,6055.1,23.0,792.5,82.0,6.0,10.0,195.0,1
Jacob Rinne,SWE,Djurgården,UEFA Europa Conference League,GK,Goalkeeper,31,645,24.0,10.0,16.0,7.7,-2.3,2,26.0,94.0,184.0,23.0,6224.8,49.0,2149.4,100.0,6.0,9.0,172.9,1
Jacopo Seghetti,ITA,Empoli,Italian Serie A,GK,Goalkeeper,19,90,6.0,3.0,3.0,1.9,-1.1,0,3.0,9.0,16.0,5.0,540.8,5.0,195.0,4.0,0.0,1.0,26.0,1
Jakub Stolarczyk,POL,Leicester City,English Premier League,GK,Goalkeeper,24,900,44.0,16.0,28.0,15.4,-0.6,2,57.0,195.0,328.0,36.0,11223.7,58.0,2909.6,169.0,10.0,8.0,182.0,1
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,4050,158.0,44.0,116.0,40.2,-3.8,16,132.0,346.0,820.0,225.0,25164.3,323.0,12155.1,583.0,41.0,33.0,645.9,1
Janis Blaswich,GER,RB Salzburg,UEFA Champions League,GK,Goalkeeper,33,201,13.0,7.0,6.0,4.4,-2.6,0,7.0,25.0,45.0,4.0,1550.0,16.0,737.6,30.0,1.0,4.0,66.8,1
Jason Steele,ENG,Brighton,English Premier League,GK,Goalkeeper,33,90,1.0,0.0,1.0,0.0,0.0,1,1.0,6.0,60.0,1.0,1356.0,2.0,86.0,13.0,0.0,1.0,14.5,1
Jasper Cillessen,NED,Las Palmas,Spanish La Liga,GK,Goalkeeper,35,2335,128.0,42.0,85.0,43.9,1.8,3,124.0,409.0,806.0,142.0,27764.3,179.0,7722.4,413.0,13.0,20.0,389.2,1
Jay Gorter,NED,Ajax,UEFA Europa League,GK,Goalkeeper,24,67,3.0,2.0,1.0,1.0,-1.0,0,3.0,6.0,27.0,3.0,726.3,2.0,89.0,6.0,0.0,0.0,0.0,1
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,29,1306,50.0,18.0,32.0,16.1,-1.9,3,65.0,169.0,553.0,79.0,17114.7,34.0,1437.2,131.0,16.0,31.0,652.1,1
Jeroen Zoet,NED,AZ Alkmaar,UEFA Europa League,GK,Goalkeeper,33,90,5.0,1.0,4.0,2.6,1.6,0,5.0,22.0,25.0,5.0,970.0,10.0,498.0,25.0,2.0,0.0,0.0,1
Jesse Joronen,FIN,Venezia,Italian Serie A,GK,Goalkeeper,31,523,29.0,10.0,20.0,10.1,0.1,2,15.0,64.0,207.0,39.0,6421.1,27.0,940.0,83.0,5.0,3.0,31.0,1
Jesús Owono,EQG,Alavés,Spanish La Liga,GK,Goalkeeper,24,487,14.0,7.0,7.0,5.4,-1.6,0,46.0,105.0,126.0,12.0,5417.2,36.0,2431.8,66.0,6.0,2.0,24.0,1
Joakim Persson,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,17,90,5.0,2.0,3.0,1.2,-0.8,0,4.0,14.0,24.0,6.0,801.6,5.0,269.0,14.0,1.0,0.0,0.0,1
Joan García,ESP,Espanyol,Spanish La Liga,GK,Goalkeeper,24,3240,181.0,51.0,129.0,55.8,4.8,6,187.0,493.0,982.0,189.0,33897.6,203.0,9827.6,615.0,59.0,35.0,552.0,1
Joe Lumley,ENG,Southampton,English Premier League,GK,Goalkeeper,29,270,20.0,7.0,13.0,7.7,0.7,0,15.0,50.0,135.0,14.0,4053.5,15.0,360.3,56.0,2.0,7.0,187.8,1
Joel Drommel,NED,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,27,90,6.0,3.0,3.0,3.3,0.3,0,7.0,14.0,40.0,4.0,1300.0,5.0,164.0,11.0,0.0,0.0,0.0,1
Johan Dahlin,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,38,225,11.0,4.0,7.0,3.3,-0.7,0,1.0,13.0,37.0,10.0,949.2,25.0,686.1,25.0,1.0,2.0,60.0,1
