Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,180,74,20,75,79,33,19,70,74,14,15,40,65,67,12,9,7,7,1,61,46,8,87
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,32,314,56,61,67,58,77,86,84,92,54,10,88,52,72,18,25,72,74,1,68,30,27,84
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,34,90,19,70,25,8,20,19,98,79,27,23,35,97,96,87,68,7,7,1,50,97,53,10
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,90,19,3,1,87,5,19,47,21,16,4,14,94,80,79,9,99,99,1,1,85,8,2
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,450,59,70,72,44,76,55,85,71,48,77,64,60,57,85,98,63,68,1,77,77,93,60
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,90,47,95,86,8,94,95,47,36,67,100,49,48,74,49,95,7,7,1,96,62,96,16
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,360,86,84,95,47,90,82,55,79,85,93,90,52,60,82,95,7,7,1,91,15,92,36
Emiliano Martínez,ARG,Aston Villa,English Premier League,GK,Goalkeeper,33,360,12,84,25,15,59,60,39,25,67,51,44,21,31,62,53,25,28,1,67,58,49,52
Filip Jørgensen,DEN,Chelsea,English Premier League,GK,Goalkeeper,23,83,27,14,8,77,18,19,33,33,71,5,32,37,56,95,9,54,45,1,2,33,8,27
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,450,90,10,72,94,65,19,56,53,73,31,65,60,52,38,68,85,83,1,22,57,72,79
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,450,68,20,53,60,10,74,88,81,74,43,90,20,35,36,20,47,56,1,26,67,20,28
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,450,97,12,95,96,84,55,80,90,28,31,65,72,85,84,95,30,24,1,57,31,91,85
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,630,78,70,91,49,79,65,62,48,84,72,74,12,25,34,95,88,88,1,90,69,98,57
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,450,8,82,12,15,51,74,21,20,8,27,7,12,21,45,29,15,16,1,38,42,28,73
Giorgi Mamardashvili,GEO,Liverpool,UEFA Champions League,GK,Goalkeeper,25,35,0,95,1,1,56,99,1,17,95,17,77,9,4,1,9,100,100,1,0,0,8,0
