Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Gonzalo Valle,ECU,Goalkeeper,LDU de Quito,29,1996,10,10,886,5,47,42,6,0,0,0,0,11.3,41,137,266,41,95,185,6,10,0,-5.0,1
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,31,31,2745,32,109,79,10,1,1,0,0,32.7,162,385,770,97,162,396,25,18,0,-32.0,2
Guido Villar,ARG,Goalkeeper,Independiente,27,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5,1,-11.0,1
Guillaume Dietsch,FRA,Goalkeeper,Dender,24,2001,3,3,270,6,20,14,0,0,0,0,0,5.1,20,49,67,17,23,65,4,6,0,-6.0,1
Guillermo Allison,MEX,Goalkeeper,Querétaro,35,1990,10,10,900,18,59,40,2,4,3,1,0,20.2,38,142,178,28,109,237,13,7,1,-18.0,1
Guillermo Vizcarra,BOL,Goalkeeper,Alianza Lima,32,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3,0,-11.0,1
Guillermo de Amores,URU,Goalkeeper,Peñarol,31,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0,0,-2.0,1
Gustavo,BRA,Goalkeeper,Juventude,32,1993,10,10,855,22,56,33,1,3,2,1,0,18.0,27,81,224,47,67,148,8,1,1,-22.0,1
Harlen Castillo,COL,Goalkeeper,Nacional,32,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0,0,0.0,1
Helton Leite,BRA,Goalkeeper,Fortaleza,34,1990,6,6,540,11,28,17,1,2,2,0,0,8.1,20,54,101,26,37,65,4,2,0,-11.0,2
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,32,1993,5,5,450,7,26,20,0,1,1,0,0,8.4,20,47,176,22,13,64,4,2,0,-7.0,1
