Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Lorenzo Andrenacci,ITA,Goalkeeper,Brescia,,1995,9,9,765,9,27,18,1,1,1,0,0,6.9,41,105,166,31,62,130,10,0,0,-2.0999999999999996
Luca Lezzerini,ITA,Goalkeeper,Brescia,,1995,25,25,2250,25,90,63,7,4,1,2,1,23.9,115,265,554,93,206,419,19,15,3,-1.1000000000000014
Luca Maniero,ITA,Goalkeeper,Cittadella,,1995,3,3,270,3,14,11,1,0,0,0,0,3.9,17,36,55,10,19,32,0,0,0,0.8999999999999999
Lucas Acosta,ARG,Goalkeeper,Sarmiento,,1995,23,23,2070,24,104,81,9,2,2,0,0,30.4,137,436,391,50,261,408,15,9,0,6.399999999999999
Lucas Arcanjo,BRA,Goalkeeper,Vitória,,1998,37,37,3330,52,162,112,8,4,3,0,1,44.1,126,432,835,118,273,647,30,15,1,-7.899999999999999
Lucas Hoyos,ARG,Goalkeeper,Newell's OB,,1989,11,11,976,10,34,25,4,2,1,0,1,11.7,62,157,271,24,72,154,12,9,1,1.6999999999999993
Lucas Paes,BRA,Goalkeeper,Casa Pia,,1997,4,3,273,5,14,9,0,0,0,0,0,3.9,11,28,84,21,18,42,4,5,0,-1.1
Lucas Pirard,BEL,Goalkeeper,Kortrijk,,1995,9,9,810,10,42,33,4,0,0,0,0,12.0,83,212,211,37,91,170,12,10,0,2.0
Lucão,BRA,Goalkeeper,RB Bragantino,,2001,8,6,631,9,32,23,1,0,0,0,0,8.2,20,80,136,28,64,167,4,7,0,-0.8000000000000007
Luis Barraza,USA,Goalkeeper,NYCFC,,1996,1,0,79,4,5,1,0,0,0,0,0,3.2,3,6,27,3,5,9,1,0,0,-0.7999999999999998
Luis Cárdenas,MEX,Goalkeeper,Monterrey,,1993,2,2,180,2,11,9,1,0,0,0,0,2.6,8,18,101,18,9,28,2,1,0,0.6000000000000001
Luis Ingolotti,ARG,Goalkeeper,Cen. Córdoba–SdE,,2000,26,26,2340,34,110,75,6,3,2,1,0,32.4,95,313,536,119,161,316,24,23,1,-1.6000000000000014
Luis Mejía,PAN,Goalkeeper,uy Nacional,,1991,8,8,720,9,26,17,3,0,0,0,0,8.7,21,56,116,32,42,72,5,2,0,-0.3000000000000007
Luis Ángel Malagón,MEX,Goalkeeper,América,,1997,29,29,2565,22,90,68,13,1,1,0,0,29.6,110,302,618,95,209,395,17,11,0,7.600000000000001
Luiz Lúcio Reis Júnior,BRA,Goalkeeper,Famalicão,,2001,33,33,2970,39,145,105,8,8,3,3,2,47.8,176,426,891,206,250,466,47,49,5,8.799999999999997
Luka Gavran,CAN,Goalkeeper,Toronto FC,,2000,9,9,810,18,50,32,2,0,0,0,0,16.5,35,90,220,41,63,107,6,11,0,-1.5
Luuk Koopmans,NED,Goalkeeper,Fortuna Sittard,,1993,5,5,450,6,19,13,2,0,0,0,0,7.1,28,105,116,15,35,56,7,9,0,1.0999999999999996
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,,1995,38,38,3420,56,203,147,8,0,0,0,0,61.2,178,448,740,165,308,602,30,15,0,5.200000000000003
Maarten Paes,IDN,Goalkeeper,FC Dallas,,1998,30,30,2700,52,170,117,5,8,5,3,0,49.2,111,286,809,124,208,385,12,39,3,-2.799999999999997
Maarten Vandevoordt,BEL,Goalkeeper,Genk,,2002,30,30,2700,31,116,84,10,3,2,1,0,34.5,160,437,925,117,169,414,33,20,1,3.5
Mads Hermansen,DEN,Goalkeeper,Leicester City,,2000,44,44,3960,41,154,113,13,1,0,1,0,45.7,126,404,2076,212,105,461,29,77,1,4.700000000000003
Magrão,BRA,Goalkeeper,Rio Ave,,2000,7,7,630,12,31,19,1,1,1,0,0,11.8,21,64,168,43,54,78,3,7,0,-0.1999999999999993
Manaf Nurudeen,GHA,Goalkeeper,Eupen,,1999,2,2,180,2,8,6,1,1,1,0,0,2.3,13,53,65,6,37,49,2,3,0,0.2999999999999998
Manuel Roffo,ARG,Goalkeeper,Instituto,,2000,27,27,2430,31,94,63,7,3,2,1,0,29.2,148,371,551,73,189,428,37,13,1,-1.8000000000000007
Marcelo Barovero,ARG,Goalkeeper,Banfield,,1984,2,2,118,1,2,1,0,0,0,0,0,0.9,4,12,34,4,14,20,1,0,0,-0.09999999999999998
Marcelo Carné,BRA,Goalkeeper,Estoril,,1990,22,22,1979,28,105,78,8,2,1,1,0,31.6,67,244,492,121,220,346,15,15,1,3.6000000000000014
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,,1986,2,2,180,3,8,5,0,0,0,0,0,2.0,3,9,34,10,16,27,2,1,0,-1.0
Marcelo Miño,ARG,Goalkeeper,Barracas Central,,1997,10,10,900,14,63,50,4,1,1,0,0,15.2,72,183,215,56,96,178,6,3,0,1.1999999999999993
Marco Pissardo,ITA,Goalkeeper,Bari,,1998,6,5,481,9,22,13,1,0,0,0,0,6.3,16,50,103,40,45,67,9,3,0,-2.7
Marcos Felipe,BRA,Goalkeeper,Bahia,,1996,34,34,2996,43,150,106,9,3,2,1,0,42.0,133,296,1069,196,204,473,48,71,1,-1.0
Marcos Ignacio Ledesma,ARG,Goalkeeper,Gimnasia–LP,,1996,18,18,1620,11,53,43,9,1,0,0,1,12.4,92,257,354,100,170,298,32,21,1,1.4000000000000004
Mark Spenkelink,NED,Goalkeeper,RKC Waalwijk,,1997,1,1,90,2,12,10,0,1,0,0,1,3.9,7,17,31,4,12,17,1,1,1,1.9
Mark Travers,IRL,Goalkeeper,Stoke City,,1999,13,13,1170,18,64,46,2,2,1,0,1,17.2,91,260,391,63,114,174,13,12,1,-0.8000000000000007
Martin Delavallée,BEL,Goalkeeper,Charleroi,,2004,1,0,1,0,0,0,0,0,0,0,0,0.0,3,3,1,0,2,1,0,0,0,0.0
