Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23.0,2002,1,1,90,65,24
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30.0,1995,15,15,1345,35,21
Maarten Paes,IDN,Goalkeeper,FC Dallas,27.0,1998,22,22,1980,35,67
Mads Kikkenborg,DEN,Goalkeeper,Anderlecht,0.0,1999,2,2,180,80,61
Magrão,BRA,Goalkeeper,Fortaleza,25.0,2000,3,3,270,49,27
Manuel Roffo,ARG,Goalkeeper,Instituto,25.0,2000,19,19,1710,40,52
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35.0,1990,5,5,450,81,40
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38.0,1986,1,1,90,56,49
Marco Bleve,ITA,Goalkeeper,Carrarese,0.0,1995,24,24,2092,84,72
Marco Festa,ITA,Goalkeeper,Mantova,0.0,1992,38,38,3420,49,41
Marco Pissardo,ITA,Goalkeeper,Bari,0.0,1998,2,1,109,34,68
Marco Silvestri,ITA,Goalkeeper,Sampdoria,0.0,1991,7,7,630,21,31
Marcos Felipe,BRA,Goalkeeper,br Bahia,29.0,1996,15,14,1332,57,61
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28.0,1996,19,19,1710,43,54
Marcão,BRA,Goalkeeper,Juventude,33.0,1992,6,5,495,71,31
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27.0,1998,2,2,180,14,65
Marius Adamonis,LTU,Goalkeeper,Südtirol,0.0,1997,15,15,1350,59,58
Mark Spenkelink,NED,Goalkeeper,RKC Waalwijk,0.0,1997,4,4,360,13,59
Mark Travers,IRL,Goalkeeper,Middlesbrough,0.0,1999,17,17,1530,72,26
Marko Gudžulić,SRB,Goalkeeper,Estrela,0.0,2002,2,2,180,37,62
Marko Ilić,SRB,Goalkeeper,Kortrijk,0.0,1998,5,5,425,68,68
Martin Delavallée,BEL,Goalkeeper,Charleroi,0.0,2004,8,8,720,67,84
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,58,41
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,49,29
Matheus,BRA,Goalkeeper,Ajax,0.0,1992,26,26,2340,42,45
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,41,32
Matheus Teixeira,BRA,Goalkeeper,Rio Ave,0.0,1999,1,0,15,38,20
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,57,34
Matt Ingram,ENG,Goalkeeper,Oxford United,0.0,1993,1,1,90,13,44
Matteo Pisseri,ITA,Goalkeeper,Cesena,0.0,1991,11,11,990,35,35
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,0.0,2004,19,18,1665,80,52
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,0.0,1993,28,28,2520,61,52
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,54,56
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,48,47
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,76,42
Max O'Leary,IRL,Goalkeeper,Bristol City,0.0,1996,46,46,4140,50,58
Maxence Prevot,FRA,Goalkeeper,OH Leuven,0.0,1997,1,1,90,85,93
