Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Abdoulaye Keita,Getafe,Spanish La Liga,CM,Midfielder,ESP,22,18.71,95,3,6.24
Abdoulaye Niakhate Ndiaye,Brest,"French Ligue 1, UEFA Champions League",CB,Defender,SEN,23,155.08,1887,24,6.46
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,31,181.15,2324,28,6.47
Abdoulie Ceesay,St. Pauli,German Bundesliga,AM,Forward,GAM,21,41.29,60,7,5.9
Abdu Conté,Young Boys,UEFA Champions League,LB,Defender,POR,26,6.42,28,1,6.42
Abdukodir Khusanov,"Lens, Manchester City","English Premier League, French Ligue 1, UEFA Champions League",CB,Defender,UZB,21,129.72,1568,20,6.49
Abdul Fatawu Issahaku,Leicester City,English Premier League,RW,Forward,GHA,20,71.17,579,11,6.47
Abdul Mumin,Rayo Vallecano,Spanish La Liga,CB,Defender,GHA,26,159.46,2017,24,6.64
Abdón Prats,Mallorca,Spanish La Liga,AM,Forward,ESP,32,149.84,456,24,6.24
Abdülkerim Bardakcı,Galatasaray,UEFA Europa League,CB,Defender,TUR,30,66.01,895,10,6.6
Abel,Osasuna,Spanish La Liga,LB,Defender,ESP,24,227.74,2074,35,6.51
Abel Ruiz,Girona,"Spanish La Liga, UEFA Champions League",AM,Forward,ESP,25,167.62,1491,26,6.45
Abner,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,BRA,24,162.63,1445,25,6.51
Aboubacar Bassinga,Las Palmas,Spanish La Liga,AM,Forward,CIV,19,5.83,4,1,5.83
Abzal Beisebekov,Astana FK,UEFA Europa Conference League,CB,Defender,KAZ,31,11.89,180,2,5.94
Achraf Hakimi,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,MAR,26,300.6,3606,42,7.16
Adam Armstrong,Southampton,English Premier League,AM,Forward,ENG,27,126.99,1248,20,6.35
Adam Aznou,"Bayern Munich, Valladolid","German Bundesliga, Spanish La Liga, UEFA Champions League",LB,Defender,MAR,18,105.11,895,16,6.57
Adam Buksa,Midtjylland,UEFA Europa League,AM,Forward,POL,28,52.18,720,8,6.52
Adam Daghim,RB Salzburg,UEFA Champions League,AM,Forward,DEN,19,48.51,393,7,6.93
Adam Dźwigała,St. Pauli,German Bundesliga,CB,Defender,POL,29,95.7,373,16,5.98
Adam Forrester,Hearts,UEFA Europa Conference League,RB,Defender,SCO,19,30.98,343,5,6.2
Adam Gabriel,Midtjylland,UEFA Europa League,RB,Defender,CZE,23,18.92,170,3,6.31
Adam Gnezda Čerin,Panathinaikos,UEFA Europa Conference League,DM,Midfielder,SVN,25,47.98,286,8,6.0
Adam Hložek,Hoffenheim,"German Bundesliga, UEFA Europa League",AM,Forward,CZE,22,229.1,2392,35,6.55
Adam Idah,Celtic,UEFA Champions League,AM,Forward,IRL,24,68.22,341,10,6.82
Adam Lallana,Southampton,English Premier League,CM,Midfielder,ENG,36,91.3,361,14,6.52
Adam Markhiev,FK Rīgas FS,UEFA Europa League,CM,Midfielder,FIN,22,52.18,636,8,6.52
Adam Marušić,Lazio,"Italian Serie A, UEFA Europa League",RB,Defender,MNE,32,295.14,3336,47,6.28
Adam Masina,Torino,Italian Serie A,CB,Defender,MAR,31,178.23,1919,28,6.37
Adam Obert,Cagliari,Italian Serie A,LB,Defender,SVK,22,135.71,1077,21,6.46
